"from","to"
2,1
2,2
2,3
2,4
2,6
2,7
2,8
2,9
2,10
2,14
2,15
2,17
2,18
2,19
2,22
2,23
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,34
2,35
2,36
2,37
2,39
2,44
2,45
2,57
2,60
2,62
2,68
2,75
2,79
2,80
2,87
2,94
2,99
2,105
2,109
2,110
2,113
2,119
2,120
2,125
2,134
2,139
2,150
2,155
2,156
2,158
2,165
2,166
2,170
2,173
2,182
2,212
3,1
3,2
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,21
3,22
3,23
3,25
3,26
3,27
3,28
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,40
3,42
3,44
3,45
3,48
3,49
3,51
3,52
3,54
3,55
3,57
3,58
3,59
3,60
3,62
3,63
3,66
3,67
3,68
3,69
3,70
3,71
3,72
3,73
3,74
3,75
3,76
3,77
3,78
3,79
3,80
3,82
3,83
3,84
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,94
3,95
3,96
3,97
3,98
3,99
3,102
3,103
3,105
3,108
3,109
3,110
3,112
3,113
3,116
3,117
3,119
3,121
3,125
3,128
3,130
3,133
3,134
3,136
3,146
3,148
3,150
3,156
3,157
3,158
3,166
3,170
3,173
3,178
3,180
3,182
3,187
3,193
3,212
4,3
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,13
4,14
4,15
4,17
4,18
4,19
4,21
4,22
4,23
4,25
4,26
4,27
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,39
4,40
4,42
4,44
4,45
4,49
4,51
4,52
4,53
4,54
4,57
4,58
4,60
4,62
4,63
4,67
4,68
4,69
4,70
4,73
4,74
4,78
4,80
4,82
4,84
4,86
4,87
4,88
4,90
4,98
4,102
4,103
4,104
4,109
4,112
4,113
4,116
4,119
4,120
4,125
4,128
4,130
4,134
4,148
4,150
4,156
4,158
4,170
4,173
4,180
4,181
4,182
4,187
4,193
4,212
5,2
5,3
5,4
5,6
5,14
5,15
5,21
5,22
5,23
5,25
5,27
5,29
5,30
5,31
5,34
5,37
5,44
5,45
5,49
5,53
5,55
5,58
5,67
5,74
5,76
5,80
5,82
5,95
5,96
5,97
5,104
5,105
5,108
5,109
5,119
5,120
5,128
5,130
5,150
5,158
5,193
6,1
6,2
6,3
6,6
6,7
6,8
6,9
6,10
6,14
6,15
6,17
6,18
6,21
6,23
6,25
6,27
6,29
6,30
6,31
6,32
6,34
6,36
6,37
6,39
6,44
6,45
6,49
6,58
6,59
6,63
6,68
6,69
6,70
6,76
6,79
6,90
6,94
6,96
6,97
6,103
6,104
6,108
6,112
6,113
6,119
6,120
6,128
6,134
6,136
6,146
6,150
6,156
6,178
6,182
6,212
7,1
7,2
7,3
7,4
7,5
7,6
7,11
7,13
7,14
7,15
7,16
7,17
7,18
7,21
7,22
7,23
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,39
7,40
7,42
7,44
7,45
7,48
7,49
7,52
7,54
7,55
7,57
7,58
7,59
7,60
7,62
7,63
7,68
7,69
7,70
7,72
7,73
7,75
7,76
7,79
7,80
7,82
7,84
7,86
7,87
7,88
7,90
7,92
7,94
7,95
7,96
7,99
7,102
7,103
7,104
7,105
7,108
7,109
7,110
7,112
7,113
7,115
7,116
7,117
7,119
7,120
7,125
7,127
7,128
7,130
7,134
7,136
7,138
7,139
7,146
7,150
7,155
7,156
7,157
7,158
7,165
7,166
7,168
7,170
7,173
7,178
7,180
7,181
7,182
7,187
7,193
7,212
8,1
8,2
8,4
8,5
8,6
8,9
8,10
8,14
8,15
8,16
8,17
8,21
8,22
8,25
8,26
8,27
8,29
8,31
8,33
8,34
8,36
8,39
8,44
8,45
8,59
8,75
8,76
8,80
8,92
8,96
8,105
8,109
8,112
8,119
8,127
8,130
8,134
8,139
8,140
8,150
8,156
8,166
8,173
8,193
9,1
9,2
9,3
9,4
9,5
9,6
9,8
9,9
9,10
9,11
9,14
9,15
9,16
9,17
9,18
9,21
9,22
9,23
9,25
9,26
9,27
9,28
9,29
9,31
9,32
9,34
9,35
9,36
9,37
9,39
9,42
9,44
9,45
9,48
9,49
9,52
9,54
9,55
9,57
9,58
9,59
9,60
9,62
9,63
9,68
9,69
9,70
9,72
9,73
9,75
9,76
9,79
9,80
9,82
9,84
9,87
9,88
9,92
9,94
9,95
9,96
9,99
9,102
9,103
9,104
9,105
9,108
9,109
9,110
9,112
9,113
9,115
9,116
9,117
9,119
9,120
9,125
9,127
9,128
9,130
9,134
9,136
9,138
9,139
9,140
9,146
9,150
9,156
9,157
9,158
9,165
9,166
9,168
9,170
9,173
9,178
9,180
9,181
9,182
9,187
9,193
9,212
10,1
10,2
10,4
10,5
10,6
10,8
10,9
10,13
10,14
10,15
10,17
10,18
10,22
10,23
10,26
10,27
10,29
10,30
10,31
10,32
10,34
10,35
10,36
10,37
10,39
10,40
10,44
10,45
10,49
10,52
10,54
10,55
10,57
10,58
10,59
10,62
10,63
10,70
10,73
10,76
10,80
10,82
10,86
10,87
10,88
10,90
10,96
10,105
10,108
10,109
10,113
10,116
10,119
10,136
10,138
10,140
10,146
10,150
10,155
10,156
10,157
10,165
10,170
10,182
10,212
11,2
11,3
11,4
11,6
11,7
11,9
11,10
11,13
11,14
11,15
11,18
11,21
11,22
11,27
11,28
11,30
11,32
11,34
11,35
11,36
11,37
11,40
11,44
11,45
11,51
11,53
11,58
11,59
11,60
11,62
11,66
11,70
11,73
11,74
11,75
11,76
11,80
11,82
11,84
11,88
11,98
11,102
11,103
11,105
11,109
11,112
11,113
11,119
11,125
11,127
11,130
11,138
11,148
11,150
11,156
11,157
11,170
11,178
11,182
11,187
11,193
11,212
12,2
12,3
12,4
12,6
12,7
12,9
12,14
12,15
12,21
12,22
12,25
12,26
12,27
12,33
12,34
12,35
12,36
12,37
12,44
12,45
12,54
12,57
12,62
12,68
12,70
12,71
12,78
12,80
12,84
12,92
12,104
12,109
12,110
12,113
12,118
12,119
12,120
12,125
12,134
12,146
12,150
12,158
12,170
12,187
12,193
12,212
13,1
13,4
13,6
13,7
13,8
13,11
13,23
13,27
13,32
13,34
13,35
13,36
13,37
13,45
13,58
13,73
13,74
13,79
13,80
13,95
13,96
13,98
13,109
13,121
13,146
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,13
14,15
14,16
14,17
14,18
14,21
14,22
14,23
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,39
14,40
14,42
14,44
14,45
14,48
14,49
14,51
14,52
14,53
14,54
14,55
14,57
14,58
14,59
14,60
14,62
14,63
14,67
14,68
14,69
14,70
14,71
14,72
14,73
14,74
14,76
14,78
14,79
14,80
14,82
14,83
14,84
14,86
14,87
14,88
14,91
14,94
14,96
14,98
14,100
14,102
14,103
14,104
14,105
14,109
14,112
14,113
14,116
14,117
14,118
14,119
14,120
14,121
14,125
14,127
14,128
14,133
14,134
14,139
14,146
14,148
14,150
14,156
14,157
14,158
14,166
14,170
14,173
14,178
14,180
14,182
14,187
14,193
14,212
14,213
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,13
15,14
15,16
15,17
15,18
15,19
15,21
15,22
15,23
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,39
15,40
15,42
15,44
15,45
15,48
15,49
15,51
15,52
15,53
15,54
15,55
15,57
15,58
15,59
15,60
15,62
15,63
15,66
15,68
15,69
15,70
15,71
15,72
15,73
15,74
15,76
15,77
15,78
15,79
15,80
15,82
15,83
15,84
15,86
15,87
15,88
15,89
15,90
15,91
15,92
15,94
15,96
15,97
15,98
15,100
15,102
15,103
15,104
15,105
15,108
15,109
15,112
15,113
15,116
15,117
15,119
15,121
15,125
15,127
15,128
15,130
15,133
15,134
15,146
15,148
15,150
15,156
15,157
15,158
15,170
15,173
15,180
15,182
15,187
15,193
15,212
16,6
16,45
16,58
16,66
16,76
16,79
16,97
16,103
16,108
16,112
16,120
16,127
16,136
16,178
17,1
17,2
17,4
17,6
17,7
17,8
17,14
17,15
17,21
17,22
17,23
17,27
17,29
17,34
17,36
17,37
17,39
17,44
17,45
17,52
17,71
17,72
17,80
17,82
17,92
17,94
17,96
17,105
17,109
17,119
17,134
17,138
17,150
17,155
17,158
17,170
17,180
17,187
17,190
17,193
17,212
18,1
18,2
18,3
18,6
18,7
18,8
18,9
18,10
18,14
